""	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s31"	"s32"
"CNSOMS0"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"CSOM0"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"FCSOMF0"	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.414502546874174	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967	0.373615606489967
"NMIN0"	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
"FLITTSOMF"	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466	0.566179721043466
"FSOMFSOMS"	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166	0.0281852871496166
"FWCAD"	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
"FWCFC"	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434	0.622814820332434
"FWCWET"	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
"FWCWP"	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118	0.510989724258118
"KNEMIT"	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026	0.00095108079302026
"KRUNOFF"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"RNLEACH"	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.899267767443321	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891	0.126160656153891
"ROOTD"	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157	1.09725961830157
"RRUNBULK"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
